epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,503.428,0.52246,0.39484,1.0548,0.91242,0.90242,0.995,0.89301,0.59234,0.52547,1.10604,0.000863116,0.000863116,0.000863116
102,508.401,0.52345,0.40402,1.0538,0.80422,0.97454,0.995,0.84711,0.63627,0.60872,1.15023,0.000857457,0.000857457,0.000857457
103,513.29,0.51727,0.39671,1.05643,0.94196,0.89395,0.995,0.86734,0.58767,0.52675,1.13716,0.000851798,0.000851798,0.000851798
104,518.219,0.51927,0.39818,1.05416,0.96647,0.87802,0.995,0.87216,0.57048,0.43807,1.11763,0.000846139,0.000846139,0.000846139
105,523.157,0.51727,0.40595,1.054,0.84769,0.94865,0.9675,0.8448,0.56289,0.52616,1.12513,0.000840481,0.000840481,0.000840481
106,528.093,0.49556,0.38536,1.03289,0.85155,0.91691,0.995,0.88891,0.59375,0.58793,1.11453,0.000834822,0.000834822,0.000834822
107,533.136,0.54177,0.41721,1.05217,0.80708,0.97276,0.94,0.85101,0.55658,0.60252,1.04602,0.000829163,0.000829163,0.000829163
108,538.093,0.53308,0.41553,1.05603,0.8884,0.96932,0.9675,0.89233,0.53846,0.51248,1.056,0.000823504,0.000823504,0.000823504
109,543.027,0.51227,0.38376,1.04922,0.98973,0.96757,0.995,0.91673,0.5309,0.33413,1.07632,0.000817845,0.000817845,0.000817845
110,547.989,0.52422,0.41037,1.0552,0.98085,0.96296,0.97333,0.87536,0.54102,0.41978,1.06661,0.000812186,0.000812186,0.000812186
111,553.063,0.51707,0.40298,1.03924,0.85962,0.85662,0.85567,0.71498,0.65589,0.73004,1.17199,0.000806528,0.000806528,0.000806528
112,558.048,0.50877,0.4003,1.04298,0.85132,0.91275,0.8733,0.76943,0.55621,0.66887,1.05512,0.000800869,0.000800869,0.000800869
113,562.918,0.50702,0.38548,1.03025,0.85887,0.8974,0.98738,0.90312,0.52369,0.59729,1.03197,0.00079521,0.00079521,0.00079521
114,567.898,0.49505,0.38398,1.03003,0.92361,0.9422,0.995,0.87304,0.59659,0.44735,1.10338,0.000789551,0.000789551,0.000789551
115,572.778,0.49712,0.37852,1.043,0.97092,1,0.995,0.88683,0.55163,0.35946,1.07455,0.000783892,0.000783892,0.000783892
116,577.806,0.51696,0.38996,1.04436,0.96475,0.94885,0.995,0.87512,0.53225,0.35343,1.04578,0.000778233,0.000778233,0.000778233
117,582.637,0.48996,0.36149,1.03151,0.97741,0.91549,0.99133,0.86503,0.57554,0.37091,1.12385,0.000772575,0.000772575,0.000772575
118,587.541,0.49743,0.36912,1.02823,0.94832,0.93178,0.995,0.88048,0.62923,0.4771,1.10713,0.000766916,0.000766916,0.000766916
119,592.402,0.48815,0.37481,1.02376,0.88929,0.92213,0.98738,0.87609,0.56787,0.50524,1.11817,0.000761257,0.000761257,0.000761257
120,597.286,0.51279,0.37872,1.04474,0.92152,0.94583,0.995,0.86082,0.61223,0.4891,1.32274,0.000755598,0.000755598,0.000755598
121,602.188,0.51351,0.38689,1.03671,0.98302,1,0.995,0.87169,0.58913,0.32031,1.29037,0.000749939,0.000749939,0.000749939
122,607.028,0.48398,0.36343,1.03543,0.98747,0.97157,0.995,0.87193,0.53552,0.28877,1.15513,0.00074428,0.00074428,0.00074428
123,611.91,0.4971,0.37947,1.02517,0.88795,0.9926,0.995,0.92155,0.50464,0.33883,1.07935,0.000738622,0.000738622,0.000738622
124,616.843,0.48095,0.36325,1.0258,0.80315,0.92024,0.91871,0.8215,0.49834,0.71886,1.05815,0.000732963,0.000732963,0.000732963
125,621.762,0.49161,0.37863,1.03721,0.85985,0.90031,0.94326,0.86569,0.5493,0.64133,1.11314,0.000727304,0.000727304,0.000727304
126,626.607,0.49476,0.36747,1.03217,0.8854,0.92222,0.995,0.85381,0.59214,0.50286,1.18155,0.000721645,0.000721645,0.000721645
127,631.451,0.49414,0.37439,1.02602,0.85179,0.92022,0.86479,0.77262,0.52459,0.58857,1.06335,0.000715986,0.000715986,0.000715986
128,636.364,0.49553,0.38514,1.03895,0.85866,0.90361,0.93299,0.85166,0.54081,0.64112,1.06477,0.000710327,0.000710327,0.000710327
129,641.232,0.4832,0.37621,1.021,0.88942,0.94059,0.995,0.90129,0.54012,0.39567,1.06688,0.000704668,0.000704668,0.000704668
130,646.133,0.48118,0.37267,1.03062,0.8872,0.99175,0.995,0.90945,0.50989,0.33401,1.04022,0.00069901,0.00069901,0.00069901
131,651.002,0.4661,0.35817,1.01843,0.98524,1,0.995,0.88282,0.58706,0.29769,1.19401,0.000693351,0.000693351,0.000693351
132,655.916,0.48279,0.3611,1.02652,0.97392,0.99321,0.995,0.86027,0.68154,0.33935,1.34642,0.000687692,0.000687692,0.000687692
133,660.783,0.48099,0.35612,1.03226,0.9852,1,0.995,0.8651,0.63091,0.32594,1.30243,0.000682033,0.000682033,0.000682033
134,665.717,0.48503,0.36165,1.02872,0.97738,1,0.995,0.8843,0.53363,0.28603,1.08351,0.000676374,0.000676374,0.000676374
135,670.739,0.50144,0.37094,1.02912,0.96439,0.91472,0.995,0.93726,0.48465,0.35283,1.00639,0.000670715,0.000670715,0.000670715
136,675.611,0.45995,0.3546,1.01925,0.89906,0.89193,0.995,0.92711,0.49128,0.48406,1.00528,0.000665057,0.000665057,0.000665057
137,680.424,0.48491,0.36617,1.02035,0.93705,0.89189,0.995,0.90686,0.51245,0.48978,1.02512,0.000659398,0.000659398,0.000659398
138,685.342,0.48899,0.35184,1.02153,0.95103,0.86579,0.995,0.91739,0.48114,0.41347,1.00105,0.000653739,0.000653739,0.000653739
139,690.186,0.47995,0.35895,1.02964,0.86584,0.99068,0.995,0.92826,0.46968,0.36797,1.01637,0.00064808,0.00064808,0.00064808
140,695.093,0.48789,0.3612,1.01977,0.9414,0.99608,0.995,0.91414,0.52621,0.31082,1.05678,0.000642421,0.000642421,0.000642421
141,699.943,0.4899,0.34987,1.03475,0.97617,0.91777,0.995,0.90504,0.47251,0.36344,0.996,0.000636762,0.000636762,0.000636762
142,704.848,0.45819,0.33871,1.00051,0.94038,0.97919,0.995,0.87431,0.48567,0.32384,1.01762,0.000631104,0.000631104,0.000631104
143,709.808,0.45628,0.3343,0.99509,0.89838,0.94421,0.995,0.88763,0.5254,0.42764,1.11246,0.000625445,0.000625445,0.000625445
144,714.777,0.46938,0.33762,1.01773,0.95581,0.907,0.995,0.92588,0.52649,0.43101,1.10698,0.000619786,0.000619786,0.000619786
145,719.688,0.46707,0.33243,1.023,0.9766,0.9504,0.995,0.89288,0.58554,0.32472,1.19477,0.000614127,0.000614127,0.000614127
146,724.638,0.46843,0.34896,1.0176,0.88934,0.92678,0.995,0.88871,0.59821,0.49947,1.20975,0.000608468,0.000608468,0.000608468
147,729.564,0.47802,0.35438,1.01316,0.86129,0.8956,0.91208,0.83044,0.57612,0.57215,1.14437,0.000602809,0.000602809,0.000602809
148,734.462,0.44725,0.32886,1.0008,0.85758,0.90803,0.98738,0.91513,0.50546,0.49668,1.08995,0.000597151,0.000597151,0.000597151
149,739.334,0.47041,0.35189,1.01568,0.97047,0.86889,0.995,0.92347,0.51853,0.4505,1.08805,0.000591492,0.000591492,0.000591492
150,744.227,0.45575,0.3406,1.01078,0.97091,0.92998,0.995,0.9017,0.5123,0.38951,1.08542,0.000585833,0.000585833,0.000585833
151,749.094,0.47867,0.35315,1.02358,0.94492,0.99267,0.995,0.93823,0.47742,0.3037,1.05681,0.000580174,0.000580174,0.000580174
152,754.09,0.46157,0.35382,1.01635,0.91458,0.97548,0.995,0.92001,0.4756,0.29231,1.05321,0.000574515,0.000574515,0.000574515
